token	sub
10000	10000
1980	1980
1990	1990
1992	1992
2009	2009
230	230
27	27
65	65
abord	abord
aboutir	aboutir
acoustique	acoustique
acoustooptiqu	acoustooptiqu
adjoint	adjoint
aerospatial	aerospatial
ailleurs	ailleurs
aime	aime
ainsi	
ajouter	ajouter
aller	aller
alors	alors
amuser	amuser
amusezvou	amusezvou
an	an
année	année
application	application
arnaud	arnaud
atil	atil
attribuer	attribuer
au	
audelà	audelà
aujourd	
auraitil	auraitil
aussi	
autant	autant
autour	autour
autre	
auxquels	auxquels
avec	
aventure	aventure
avoir	
avril	avril
aéronautique	aéronautique
bel	bel
bien	bien
biologie	biologie
biomédical	biomédical
boutade	boutade
brûler	brûler
c	
carminatti	carminatti
carrière	carrière
ce	
celer	celer
celleci	celleci
celui	celui
centaine	centaine
certain	certain
champ	champ
chance	chance
charpak	charpak
chercher	chercher
chercheur	chercheur
chimie	chimie
chronologie	chronologie
clé	clé
cnrs	cnrs
cnrsespci	cnrsespci
coeur	coeur
collaborateur	collaborateur
comme	
commencer	commencer
composant	composant
comprendre	comprendre
compte	compte
concept	concept
conclutilphysique	conclutilphysique
concrétiser	concrétiser
connaisseur	connaisseur
contrôle	contrôle
corps	corps
croire	croire
création	création
créer	créer
d	
dans	
dassault	dassault
de	
dernier	
derrière	derrière
deux	
dire	dire
directeur	directeur
distinction	distinction
domaine	
domotique	domotique
donc	
donne	donne
dont	
duflo	duflo
dès	dès
déboucher	déboucher
décerner	décerner
découvrir	découvrir
départ	départ
département	département
détruire	détruire
développer	
développé	développé
ecole	ecole
effet	
efficace	efficace
emblée	emblée
en	
enclin	enclin
encore	encore
endroit	endroit
enregistrer	enregistrer
enseignement	enseignement
enthousiasme	enthousiasme
enthousiasmetil	enthousiasmetil
entreprise	entreprise
envoyer	envoyer
espci	espci
esther	esther
et	
etc	etc
excellent	excellent
exemple	exemple
fabriquer	fabriquer
faire	
falloir	falloir
fameu	fameu
fautil	fautil
façon	façon
feu	feu
filtre	filtre
fin	fin
financer	financer
finir	finir
fink	fink
focalisation	focalisation
focaliser	focaliser
focus	
fois	fois
fondamental	fondamental
français	français
françois	françois
front	front
genevièv	genevièv
genne	genne
george	george
georges	georges
grand	
grâce	grâce
honorer	honorer
hui	
humain	humain
humour	humour
ici	ici
idée	idée
il	
image	image
imagerie	imagerie
imageur	imageur
impérativemer	impérativemer
incident	incident
indiquetil	indiquetil
industrie	industrie
industriel	industriel
information	information
ingénieur	ingénieur
innovant	innovant
innovation	innovation
innover	innover
institut	institut
instrument	instrument
intact	intact
intéresser	intéresser
inverse	inverse
inverser	inverser
irm	irm
isolé	isolé
j	j
jacques	jacques
jamais	jamais
janvier	janvier
je	je
jusqu	
l	
laboratoire	
laisser	laisser
langevin	langevin
le	
lewiner	lewiner
limiter	limiter
luire	luire
m	m
mais	
marquer	marquer
mathia	mathia
mener	mener
mettre	
microonde	microonde
milieu	milieu
militaroindustrielle	militaroindustrielle
ministre	ministre
miroir	miroir
mixte	mixte
moment	moment
mon	mon
montagn	montagn
multimédia	multimédia
multionde	multionde
mur	mur
médaille	médaille
médecine	médecine
métier	métier
n	n
ne	ne
nobel	nobel
nombre	nombre
notre	notre
nous	nous
nouveau	
objet	objet
observer	observer
obtenir	obtenir
occasion	occasion
oeuvre	oeuvre
on	on
onde	onde
optique	optique
original	original
origine	origine
ou	
papier	papier
par	
parcourir	parcourir
pari	pari
parisdiderot	parisdiderot
paristechupmcuniversité	paristechupmcuniversité
particularité	particularité
particulièrement	particulièrement
partir	partir
parvenir	parvenir
pas	pas
passer	passer
permettre	
personn	personn
personne	personne
peu	peu
photoacoustiqu	photoacoustiqu
physical	physical
physicien	physicien
physique	physique
pierregille	pierregille
pierrot	pierrot
pièce	pièce
plein	plein
pluridisciplinarité	pluridisciplinarité
plus	
plusieurs	plusieurs
pointe	pointe
possible	possible
potentiel	potentiel
pour	
poursuivre	poursuivre
pousser	pousser
pouvoir	
pratiquent	pratiquent
premier	
prix	prix
produit	produit
progressivemer	progressivemer
propice	propice
proposer	proposer
précis	précis
préciser	préciser
précisetil	précisetil
préserver	préserver
prêt	prêt
public	public
publication	publication
publier	publier
pécresse	pécresse
qu	qu
qualifient	qualifient
qualifier	qualifier
quatre	quatre
que	
qui	
rapprochement	rapprochement
recherche	
remarquable	remarquable
rencontre	rencontre
rencontrer	rencontrer
rendre	rendre
renversement	renversement
reste	reste
retournement	retournement
retournemer	retournemer
retrouver	retrouver
review	review
revivre	revivre
roboticien	roboticien
régner	régner
rémi	rémi
réputer	réputer
résume	résume
réussite	réussite
réémettre	réémettre
s	
saint	saint
scientifique	scientifique
se	
second	second
secteur	secteur
sein	
si	
sismique	sismique
snecma	snecma
solide	solide
son	
sontils	sontils
souhaiter	souhaiter
soulignetil	soulignetil
source	source
startup	startup
supérieur	supérieur
sur	
