token	sub
10000	10000
1980	1980
1990	1990
1992	1992
2009	2009
230	230
27	27
65	65
a	
a-t-il	a-t-il
abord	abord
abouti	abouti
acoustique	acoustique
acousto-optique	acousto-optique
adjoints	adjoints
aerospatial	aerospatial
ai	ai
ailleurs	ailleurs
aime	aime
ainsi	
ajoute	ajoute
alors	alors
amusant	amusant
amusez-vous	amusez-vous
années	années
ans	ans
applications	applications
arnaud	arnaud
attribuée	attribuée
au	
au-delà	au-delà
aujourd	
aurait	aurait
aurait-il	aurait-il
aussi	
autant	autant
autour	autour
autre	autre
autres	autres
aux	
auxquels	auxquels
avait	avait
avec	
aventure	aventure
avons	avons
avril	avril
aéronautique	aéronautique
bel	bel
belle	belle
bien	bien
biologie	biologie
biomédical	biomédical
boutade	boutade
brûler	brûler
c	
carminatti	carminatti
carrière	carrière
ce	
cela	cela
celle-ci	celle-ci
celui	celui
centaine	centaine
certain	certain
ces	
cette	
ceux	ceux
champ	champ
chance	chance
charpak	charpak
chercheur	chercheur
chercheurs	chercheurs
cherchez	cherchez
chimie	chimie
chronologie	chronologie
clé	clé
cnrs	cnrs
cnrsespci	cnrsespci
coeur	coeur
collaborateurs	collaborateurs
comme	
commencèrent	commencèrent
composant	composant
compris	compris
compte	compte
concept	concept
concepts	concepts
conclut-ilphysique	conclut-ilphysique
concrétisé	concrétisé
connaisseurs	connaisseurs
contrôle	contrôle
corps	corps
croire	croire
créant	créant
création	création
crée	crée
créer	créer
créé	créé
d	
dans	
dassault	dassault
de	
dernier	
derrière	derrière
des	
deux	
directeur	directeur
directeurs	directeurs
distinction	distinction
dit	dit
domaines	domaines
domotique	domotique
donc	
donne	donne
dont	
du	
duflo	duflo
dès	dès
déboucher	déboucher
décernait	décernait
découvert	découvert
découvrir	découvrir
départ	départ
département	département
détruire	détruire
développent	développent
développé	développé
ecole	ecole
ecoles	ecoles
effet	
effets	effets
efficace	efficace
emblée	emblée
en	
enclin	enclin
encore	encore
endroit	endroit
enregistrer	enregistrer
enseignement	enseignement
enthousiasme	enthousiasme
enthousiasme-t-il	enthousiasme-t-il
entreprises	entreprises
envoyer	envoyer
espci	espci
est	
esther	esther
et	
etc	etc
excellents	excellents
exemple	exemple
fabriquer	fabriquer
faire	faire
fallait	fallait
fameux	fameux
faut-il	faut-il
façon	façon
feu	feu
filtre	filtre
fin	fin
financer	financer
fini	fini
fink	fink
focalisation	focalisation
focaliser	focaliser
focus	
fois	fois
fondamentale	fondamentale
fondamentaux	fondamentaux
français	français
françois	françois
front	front
geneviève	geneviève
gennes	gennes
georges	georges
grandes	grandes
grands	grands
grâce	grâce
honorer	honorer
hui	
humain	humain
humour	humour
ici	ici
idée	idée
idées	idées
il	
ils	ils
imagerie	imagerie
images	images
imageurs	imageurs
impérativement	impérativement
incident	incident
indique-t-il	indique-t-il
industrie	industrie
industrielles	industrielles
industriels	industriels
informations	informations
ingénieurs	ingénieurs
innovants	innovants
innovation	innovation
innovations	innovations
innove	innove
innovent	innovent
innover	innover
innovez	innovez
institut	institut
instruments	instruments
intact	intact
intéresse	intéresse
inverse	inverse
inversée	inversée
irm	irm
isolé	isolé
j	j
jacques	jacques
jamais	jamais
janvier	janvier
je	je
jusqu	
l	
la	
laboratoire	laboratoire
laboratoires	
laisser	laisser
langevin	langevin
le	
les	
lewiner	lewiner
limiter	limiter
lui	lui
m	m
ma	ma
mais	
marquantes	marquantes
mathias	mathias
menées	menées
mettant	mettant
micro-ondes	micro-ondes
milieu	milieu
militaro-industrielle	militaro-industrielle
ministre	ministre
miroirs	miroirs
mixte	mixte
moment	moment
montagne	montagne
multi-ondes	multi-ondes
multimédia	multimédia
mur	mur
médaille	médaille
médecine	médecine
métier	métier
n	n
ne	ne
nobel	nobel
nombre	nombre
notre	notre
nous	nous
nouvelle	nouvelle
nouvelles	nouvelles
objets	objets
observé	observé
obtenir	obtenir
occasion	occasion
oeuvre	oeuvre
on	on
onde	onde
ondes	ondes
ont	
optique	optique
originale	originale
originales	originales
originaux	originaux
origine	origine
ou	
papiers	papiers
par	
parcouru	parcouru
paris	paris
paris-diderot	paris-diderot
paristechupmcuniversité	paristechupmcuniversité
particularité	particularité
particulièrement	particulièrement
partir	partir
parvenir	parvenir
parvenus	parvenus
pas	pas
passant	passant
passée	passée
permettait	permettait
permettent	permettent
personne	personne
personnes	personnes
peu	peu
photo-acoustique	photo-acoustique
physical	physical
physicien	physicien
physique	physique
pierre-gilles	pierre-gilles
pierrot	pierrot
pièce	pièce
plein	plein
pluridisciplinarité	pluridisciplinarité
plus	
plusieurs	plusieurs
pointe	pointe
possible	possible
potentielles	potentielles
pour	
pourrait	pourrait
poursuit	poursuit
poussées	poussées
pratiquent	pratiquent
première	première
prix	prix
produits	produits
progressivement	progressivement
propice	propice
propose	propose
proposée	proposée
précis	précis
précise	précise
