document_id	token	tf
67068	10000	1
67068	1980	1
67068	1990	1
67068	1992	1
67068	2009	2
67068	230	1
67068	27	1
67068	65	1
67068	abord	1
67068	aboutir	1
67068	acoustique	2
67068	acoustooptiqu	1
67068	adjoint	1
67068	aerospatial	1
67068	ailleurs	1
67068	aime	1
67068	ainsi	4
67068	ajouter	1
67068	aller	1
67068	alors	8
67068	amuser	1
67068	amusezvou	2
67068	an	1
67068	année	1
67068	application	2
67068	arnaud	1
67068	atil	1
67068	attribuer	1
67068	au	3
67068	audelà	2
67068	aujourd	1
67068	auraitil	1
67068	aussi	6
67068	autant	1
67068	autour	1
67068	autre	4
67068	auxquels	1
67068	avec	4
67068	aventure	1
67068	avoir	16
67068	avril	1
67068	aéronautique	1
67068	bel	4
67068	bien	1
67068	biologie	1
67068	biomédical	1
67068	boutade	1
67068	brûler	1
67068	c	4
67068	carminatti	1
67068	carrière	1
67068	ce	12
67068	celer	1
67068	celleci	1
67068	celui	2
67068	centaine	1
67068	certain	1
67068	champ	1
67068	chance	1
67068	charpak	3
67068	chercher	1
67068	chercheur	8
67068	chimie	2
67068	chronologie	1
67068	clé	2
67068	cnrs	2
67068	cnrsespci	1
67068	coeur	2
67068	collaborateur	1
67068	comme	4
67068	commencer	1
67068	composant	1
67068	comprendre	1
67068	compte	2
67068	concept	3
67068	conclutilphysique	1
67068	concrétiser	1
67068	connaisseur	1
67068	contrôle	1
67068	corps	3
67068	croire	1
67068	création	4
67068	créer	4
67068	d	19
67068	dans	8
67068	dassault	1
67068	de	75
67068	dernier	1
67068	derrière	1
67068	deux	1
67068	dire	2
67068	directeur	5
67068	distinction	1
67068	domaine	2
67068	domotique	1
67068	donc	1
67068	donne	1
67068	dont	2
67068	duflo	1
67068	dès	2
67068	déboucher	1
67068	décerner	1
67068	découvrir	3
67068	départ	1
67068	département	3
67068	détruire	1
67068	développer	2
67068	développé	1
67068	ecole	2
67068	effet	4
67068	efficace	1
67068	emblée	1
67068	en	12
67068	enclin	1
67068	encore	3
67068	endroit	3
67068	enregistrer	1
67068	enseignement	1
67068	enthousiasme	1
67068	enthousiasmetil	1
67068	entreprise	1
67068	envoyer	1
67068	espci	4
67068	esther	1
67068	et	19
67068	etc	1
67068	excellent	1
67068	exemple	3
67068	fabriquer	1
67068	faire	2
67068	falloir	1
67068	fameu	1
67068	fautil	1
67068	façon	2
67068	feu	1
67068	filtre	1
67068	fin	1
67068	financer	1
67068	finir	1
67068	fink	11
67068	focalisation	1
67068	focaliser	1
67068	focus	1
67068	fois	1
67068	fondamental	2
67068	français	1
67068	françois	1
67068	front	1
67068	genevièv	1
67068	genne	1
67068	george	1
67068	georges	2
67068	grand	4
67068	grâce	1
67068	honorer	1
67068	hui	1
67068	humain	3
67068	humour	1
67068	ici	1
67068	idée	2
67068	il	9
67068	image	5
67068	imagerie	1
67068	imageur	1
67068	impérativemer	1
67068	incident	1
67068	indiquetil	1
67068	industrie	1
67068	industriel	3
67068	information	1
67068	ingénieur	1
67068	innovant	1
67068	innovation	3
67068	innover	5
67068	institut	3
67068	instrument	1
67068	intact	1
67068	intéresser	1
67068	inverse	1
67068	inverser	1
67068	irm	1
67068	isolé	1
67068	j	1
67068	jacques	1
67068	jamais	1
67068	janvier	1
67068	je	1
67068	jusqu	1
67068	l	20
67068	laboratoire	4
67068	laisser	1
67068	langevin	3
67068	le	60
67068	lewiner	1
67068	limiter	1
67068	luire	3
67068	m	1
67068	mais	5
67068	marquer	1
67068	mathia	11
67068	mener	1
67068	mettre	1
67068	microonde	1
67068	milieu	1
