token	lemma
physique	physique
mathias	mathia
fink	fink
bel	bel
exemple	exemple
chercheur	chercheur
innove	innover
physique	physique
mathias	mathia
fink	fink
bel	bel
exemple	exemple
chercheur	chercheur
innove	innover
27	27
avril	avril
cnrs	cnr
décernait	décerner
première	premier
fois	fois
médaille	médaill
innovation	innovation
valérie	valéri
pécresse	pécresse
ministre	ministre
enseignement	enseignement
supérieur	supérieur
origine	origin
création	création
cnrs	cnr
souhaite	souhaiter
honorer	honorer
chercheurs	chercheur
ingénieurs	ingénieur
travaillant	travailler
établissements	établissement
publics	public
universités	université
grandes	grand
écoles	école
industriels	industriel
développent	développer
innovations	innovation
marquantes	marquer
première	premier
édition	édition
nouvelle	nouveau
distinction	distinction
attribuée	attribuer
trois	trois
chercheurs	chercheur
réputés	réputé
économiste	économiste
esther	esther
duflo	duflo
roboticien	roboticien
françois	françois
pierrot	pierrot
physicien	physicien
mathias	mathia
fink	fink
directeur	directeur
institut	institut
langevin	langevin
ondes	onde
images	image
créé	créer
janvier	janvier
2009	2009
ecole	ecole
physique	physique
chimie	chimie
industrielles	industriel
ville	ville
paris	pari
espci	espci
mathias	mathia
fink	fink
remarquable	remarquable
exemple	exemple
chercheurs	chercheur
innovent	innover
travaux	traval
équipe	équipe
abouti	aboutir
création	création
quatre	quatre
start-ups	start-up
totalisent	totaliser
230	230
personnes	personne
domaines	domaine
variés	varier
médecine	médecine
télécommunications	télécommunications
multimédia	multimédia
encore	encore
objets	objet
tactiles	tactile
j	j
aime	aime
transformer	transformer
idées	ider
physique	physique
fondamentale	fondamental
produits	produit
innovants	innovant
précise	préciser
emblée	emblé
mathias	mathia
fink	fink
y	y
parvenir	parvenir
fallait	falloir
trouver	trouver
terrain	terrain
propice	propice
fin	fin
années	année
1980	1980
occasion	occasion
rencontre	rencontre
georges	george
charpak	charpak
prix	prix
nobel	nobel
physique	physique
1992	1992
va	aller
découvrir	découvrir
coeur	coeur
montagne	montagn
sainte	saint
geneviève	genevièv
plein	plein
paris	pari
alors	alors
physicien	physicien
grands	grand
français	français
physique	physique
solide	solide
mathias	mathia
fink	fink
souhaite	souhaiter
faire	faire
innovation	innovation
autour	autour
concept	concept
renversement	renversement
temps	temps
belle	bel
physique	physique
qualifient	qualifient
connaisseurs	connaisseur
intéresse	intéresser
quatre	quatre
grands	grand
industriels	industriel
secteur	secteur
aéronautique	aéronautique
dassault	dassault
aerospatial	aerospatial
snecma	snecma
turboméca	turboméca
prêts	prêt
financer	financer
travaux	traval
époque	époque
milieu	milieu
encore	encore
peu	peu
enclin	enclin
travailler	travailler
industrie	industrie
autant	autant
celle-ci	celui-ci
militaro-industrielle	militaro-industrielle
mathias	mathia
fink	fink
retrouve	retrouver
isolé	isolé
georges	george
charpak	charpak
lui	luire
propose	proposer
alors	alors
rencontrer	rencontrer
pierre-gilles	pierre-gille
gennes	genne
alors	alors
directeur	directeur
espci	espci
jacques	jacques
lewiner	lewiner
directeur	directeur
scientifique	scientifique
endroit	endroit
sympathique	sympathique
lui	luire
précise	préciser
georges	georges
charpak	charpak
je	je
ai	avoir
rencontré	rencontrer
endroit	endroit
était	être
sympathique	sympathique
ils	il
m	m
alors	alors
dit	dire
vous	vous
voulez	vouloir
innovez	innover
alors	alors
venez	venir
résume	résume
mathias	mathia
fink	fink
ajoute	ajout
cela	celer
chance	chance
ma	mon
carrière	carrière
vous	vous
êtes	être
chercheur	chercheur
amusez-vous	amusez-vous
dès	dès
1990	1990
physicien	physicien
crée	créer
laboratoire	laboratoir
ondes	onde
acoustique	acoustique
école	école
qualifie	qualifier
unique	unique
innover	innover
particulièrement	particulièrement
bien	bien
vu	voir
espci	espci
on	on
vous	vous
donne	donne
feu	feu
vert	vert
moment	moment
idée	idée
proposée	proposer
originale	original
précise-t-il	précise-t-il
autre	autre
particularité	particularité
école	école
vraiment	vraiment
pas	pas
autres	autre
grandes	grand
ecoles	ecole
pluridisciplinarité	pluridisciplinariter
y	y
règne	régner
ne	ne
cherchez	chercher
pas	pas
vous	vous
n	n
y	y
trouverez	trouver
pas	pas
ailleurs	ailleurs
département	département
physique	physique
département	département
chimie	chimie
département	département
biologie	biologie
ici	ici
on	on
vous	vous
dit	dire
dès	dès
départ	départ
vous	vous
êtes	être
chercheur	chercheur
amusez-vous	amusez-vous
souligne-t-il	souligne-t-il
pointe	point
humour	humour
amusant	amusant
lui	luire
équipe	équipe
développé	développé
fameux	fameux
miroirs	miroir
retournement	retournement
temporel	temporel
permettent	permettre
échantillonner	échantillonner
enregistrer	enregistrer
champ	champ
acoustique	acoustique
incident	incident
puis	pouvoir
réémettre	réémettr
chronologie	chronologie
inversée	inverser
mathias	mathia
fink	fink
ses	son
collaborateurs	collaborateur
rendus	rendre
compte	compte
faire	faire
revivre	revivre
onde	onde
sa	son
vie	vie
passée	passer
permettait	permettre
focaliser	focaliser
onde	onde
sa	son
source	source
façon	façon
efficace	efficace
ils	il
commencèrent	commencer
alors	alors
travailler	travailler
abord	abord
ultrasons	ultrason
puis	pouvoir
ondes	onde
sismiques	sismique
micro-ondes	micro-ondes
équipe	équipe
aurait	avoir
pu	pouvoir
limiter	limiter
publier	publier
excellents	excellent
papiers	papier
publications	publication
réputées	réputer
physical	physical
review	review
chercheurs	chercheur
compris	compris
vite	vite
au-delà	au-delà
belle	bel
physique	physique
y	y
avait	avoir
applications	application
potentielles	potentiel
renversement	renversement
temps	temp
permettait	permettre
brûler	brûler
tumeur	tumeur
détruire	détruir
composant	composer
électronique	électronique
encore	encore
voir	voir
derrière	derrière
mur	mur
envoyer	envoyer
informations	information
endroit	endroit
précis	précis
pièce	pièce
progressivement	progressivemer
nous	nous
avons	avoir
développé	développer
certain	certain
nombre	nombre
instruments	instrument
originaux	original
fini	fini
déboucher	déboucher
création	création
plusieurs	plusieurs
start-ups	start-up
indique-t-il	indique-t-il
partir	partir
concept	concept
renversement	renversement
temps	temps
mathias	mathia
fink	fink
équipe	équipe
découvert	découvrir
était	être
possible	possible
créer	créer
images	image
autre	autre
façon	façon
sont-ils	sont-il
parvenus	parvenir
fabriquer	fabriquer
imageurs	imageur
corps	corps
humain	humain
grâce	grâce
auxquels	auxquels
possible	possible
obtenir	obtenir
10000	10000
images	image
seconde	second
corps	corps
humain	humain
nous	nous
avons	avoir
pu	pouvoir
alors	alors
découvrir	découvrir
corps	corps
humain	humain
était	être
parcouru	parcourir
ondes	onde
jamais	jamais
personne	personn
n	n
avait	avoir
observé	observer
alors	alors
enthousiasme-t-il	enthousiasme-t-il
pluridisciplinarité	pluridisciplinariter
clé	clé
réussite	réussite
institut	institut
langevin	langevin
ondes	onde
images	image
renversement	renversement
temps	temps
aurait-il	aurait-il
effets	effet
âge	âg
ceux	celui
pratiquent	pratiquer
au-delà	au-delà
boutade	boutade
mathias	mathia
fink	fink
âgé	âgé
65	65
ans	an
pourrait	pouvoir
laisser	laisser
croire	croire
tant	tant
enthousiasme	enthousiasme
reste	reste
intact	intact
2009	2009
a-t-il	a-t-il
concrétisé	concrétiser
